numero;personalidade;arquivo;pagina_de_origem;url_da_imagem;observacao
1;Isaac Newton;01_Isaac_Newton.jpg;https://en.wikipedia.org/wiki/Isaac_Newton;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Portrait_of_Sir_Isaac_Newton%2C_1689_%28brightened%29.jpg/960px-Portrait_of_Sir_Isaac_Newton%2C_1689_%28brightened%29.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
2;Louis Pasteur;02_Louis_Pasteur.jpg;https://en.wikipedia.org/wiki/Louis_Pasteur;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg/960px-Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
3;Michael Faraday;03_Michael_Faraday.jpg;https://en.wikipedia.org/wiki/Michael_Faraday;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Michael_Faraday_sitting_crop.jpg/960px-Michael_Faraday_sitting_crop.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
4;James Clerk Maxwell;04_James_Clerk_Maxwell.jpg;https://en.wikipedia.org/wiki/James_Clerk_Maxwell;https://upload.wikimedia.org/wikipedia/commons/b/b0/James-Clerk-Maxwell-1831-1879.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
5;Charles Darwin;05_Charles_Darwin.jpg;https://en.wikipedia.org/wiki/Charles_Darwin;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Charles_Darwin_seated_crop.jpg/960px-Charles_Darwin_seated_crop.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
6;Fritz Haber;06_Fritz_Haber.jpg;https://en.wikipedia.org/wiki/Fritz_Haber;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Portret_van_Professor_Fritz_Haber%2C_een_chemicus_uit_Duitsland_%28foto_1918-_1934%29%2C_SFA002023057.jpg/960px-Portret_van_Professor_Fritz_Haber%2C_een_chemicus_uit_Duitsland_%28foto_1918-_1934%29%2C_SFA002023057.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
7;Norman Borlaug;07_Norman_Borlaug.jpg;https://en.wikipedia.org/wiki/Norman_Borlaug;https://upload.wikimedia.org/wikipedia/commons/e/e2/Norman_Borlaug%2C_2004_%28cropped%29.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
8;Alexander Fleming;08_Alexander_Fleming.jpg;https://en.wikipedia.org/wiki/Alexander_Fleming;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Synthetic_Production_of_Penicillin_TR1468.jpg/960px-Synthetic_Production_of_Penicillin_TR1468.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
9;Albert Einstein;09_Albert_Einstein.jpg;https://en.wikipedia.org/wiki/Albert_Einstein;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/960px-Albert_Einstein_Head_cleaned.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
10;Alan Turing;10_Alan_Turing.jpg;https://en.wikipedia.org/wiki/Alan_Turing;https://upload.wikimedia.org/wikipedia/commons/c/ce/Alan_turing_header.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
11;Edward Jenner;11_Edward_Jenner.jpg;https://en.wikipedia.org/wiki/Edward_Jenner;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Edward_Jenner.jpg/960px-Edward_Jenner.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
12;John Bardeen;12_John_Bardeen.jpg;https://en.wikipedia.org/wiki/John_Bardeen;https://upload.wikimedia.org/wikipedia/commons/4/4a/Bardeen.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
13;Tim Berners-Lee;13_Tim_Berners-Lee.jpg;https://en.wikipedia.org/wiki/Tim_Berners-Lee;https://upload.wikimedia.org/wikipedia/commons/d/d1/Tim_Berners-Lee_at_the_2025_Web_Summit_%28Cropped%29.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
14;Ignaz Semmelweis;14_Ignaz_Semmelweis.jpg;https://en.wikipedia.org/wiki/Ignaz_Semmelweis;https://upload.wikimedia.org/wikipedia/commons/c/c1/Borsos_%26_Doctor_Semmelweis_Ign%C3%A1c_cropped.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
15;Gregor Mendel;15_Gregor_Mendel.jpg;https://en.wikipedia.org/wiki/Gregor_Mendel;https://upload.wikimedia.org/wikipedia/commons/b/ba/Gregor_Mendel_2.jpg;"Wikimedia/Wikipedia; consultar a página de origem para autoria e licença."
